ip_address, die_version, session_id, time, die_outcome, round98.221.147.156,87w6ra,PPpHO,Tue 15:41:55pm 22 Aug 2016,3,0
98.221.147.156,87w6ra,PPpHO,Tue 15:41:58pm 22 Aug 2016,4,1
98.221.147.156,87w6ra,PPpHO,Tue 15:42:7pm 22 Aug 2016,6,2
98.221.147.156,87w6ra,PPpHO,Tue 15:42:9pm 22 Aug 2016,1,3
98.221.147.156,87w6ra,PPpHO,Tue 15:42:10pm 22 Aug 2016,2,4
98.221.147.156,87w6ra,PPpHO,Tue 15:42:11pm 22 Aug 2016,5,5
ip_address, die_version, session_id, time, die_outcome, round
162.242.50.128,87w6ra,wAsiY,Mon 10:54:52am 11 Sep 2016,3,0
162.242.50.128,87w6ra,wAsiY,Mon 10:54:56am 11 Sep 2016,4,1
162.242.50.128,87w6ra,wAsiY,Mon 10:54:58am 11 Sep 2016,6,2
162.242.50.128,87w6rb,Bje1S,Mon 10:55:32am 11 Sep 2016,6,0
162.242.50.128,87w6rb,3wgzp,Mon 10:55:37am 11 Sep 2016,6,0
162.242.50.128,87w6rb,3wgzp,Mon 10:55:42am 11 Sep 2016,1,1
162.242.50.128,87w6rb,3wgzp,Mon 10:55:44am 11 Sep 2016,3,2
162.242.50.128,87w6rc,W7TVt,Mon 10:56:14am 11 Sep 2016,1,0
162.242.50.128,87w6rc,W7TVt,Mon 10:56:18am 11 Sep 2016,2,1
162.242.50.128,87w6rc,1rn9l,Mon 10:56:22am 11 Sep 2016,1,0
162.242.50.128,87w6rc,1rn9l,Mon 10:56:24am 11 Sep 2016,2,1
162.242.50.128,87w6rc,1rn9l,Mon 10:56:27am 11 Sep 2016,4,2
162.242.50.128,87w6rd,MAgAQ,Mon 10:56:41am 11 Sep 2016,4,0
162.242.50.128,87w6rd,53UEn,Mon 10:56:46am 11 Sep 2016,4,0
162.242.50.128,87w6rd,53UEn,Mon 10:56:49am 11 Sep 2016,2,1
162.242.50.128,87w6rd,53UEn,Mon 10:56:51am 11 Sep 2016,3,2
162.242.50.128,87w6rd,53UEn,Mon 10:57:35am 11 Sep 2016,1,3
162.242.50.128,87w6rd,53UEn,Mon 10:57:36am 11 Sep 2016,5,4
162.242.50.128,87w6rd,AgPOV,Mon 10:57:45am 11 Sep 2016,4,0
162.242.50.128,87w6ra,Kyi37,Mon 10:58:4am 11 Sep 2016,3,0
162.242.50.128,87w6ra,Kyi37,Mon 10:58:21am 11 Sep 2016,4,1
162.242.50.128,87w6ra,Kyi37,Mon 10:58:22am 11 Sep 2016,6,2
162.242.50.128,87w6ra,Kyi37,Mon 10:58:25am 11 Sep 2016,1,3
162.242.50.128,87w6rb,ELBzs,Mon 10:58:39am 11 Sep 2016,6,0
162.242.50.128,87w6rb,ELBzs,Mon 10:58:41am 11 Sep 2016,1,1
162.242.50.128,87w6rb,ELBzs,Mon 10:58:42am 11 Sep 2016,3,2
162.242.50.128,87w6rb,ELBzs,Mon 10:58:44am 11 Sep 2016,5,3
162.242.50.128,87w6rc,JeJW3,Mon 10:58:55am 11 Sep 2016,1,0
162.242.50.128,87w6rc,JeJW3,Mon 10:58:57am 11 Sep 2016,2,1
162.242.50.128,87w6rc,JeJW3,Mon 10:58:58am 11 Sep 2016,4,2
